Size, Time
32,0.135168
64,0.1536
128,0.12288
256,0.132096
512,0.15568
1024,0.366592
2048,0.124928
4096,0.109568
8192,0.098304
16384,0.050176
32768,0.10208
65536,0.080544
131072,0.144576
262144,0.12864
524288,0.1616
1048576,0.157312
2097152,0.15408
4194304,0.209888
8388608,0.309856
16777216,0.530368
33554432,0.827552
67108864,1.49741
2,0.135168
4,0.126976
8,0.12704
16,0.156608
32,0.139264
64,0.16384
128,0.15872
256,0.144384
512,0.128
1024,0.136192
2048,0.166912
4096,0.114688
8192,0.114624
16384,0.186368
32768,0.094304
65536,0.0856
131072,0.17264
262144,0.144928
524288,0.150304
1048576,0.154656
2097152,0.158496
4194304,0.232896
8388608,0.304576
16777216,0.499296
33554432,0.84304
67108864,1.50192
2,0.123904
4,0.130048
8,0.149504
16,0.146432
32,0.123904
64,0.155648
128,0.1536
256,0.1536
512,0.124928
1024,0.144384
2048,0.116736
4096,0.109568
8192,0.362496
16384,0.181248
32768,0.094656
65536,0.108
131072,0.149184
262144,0.13344
524288,0.134912
1048576,0.156288
2097152,0.153984
4194304,0.234944
8388608,0.3552
16777216,0.478304
33554432,0.837504
67108864,1.54445
2,0.109632
4,0.128
8,0.126976
16,0.130048
32,0.134176
64,0.154624
128,0.125952
256,0.150464
512,0.120832
1024,0.044064
2048,0.11776
4096,0.113664
8192,0.103424
16384,0.093184
32768,0.097888
65536,0.100608
131072,0.149088
262144,0.128768
524288,0.150784
1048576,0.162016
2097152,0.171328
4194304,0.22192
8388608,0.352384
16777216,0.51008
33554432,0.840768
67108864,1.53226
2,0.139264
4,0.129024
8,0.128992
16,0.123904
32,0.180224
64,0.132096
128,0.124928
256,0.130048
512,0.175104
1024,0.11776
2048,0.365568
4096,0.111648
8192,0.126912
16384,0.044032
32768,0.17152
65536,0.09232
131072,0.16864
262144,0.135232
524288,0.139264
1048576,0.156256
2097152,0.169824
4194304,0.21936
8388608,0.314336
16777216,0.476768
33554432,0.827488
67108864,1.50237
2,0.429056
4,0.141312
8,0.126976
16,0.152576
32,0.129024
64,0.128
128,0.154624
256,0.14848
512,0.13824
1024,0.131072
2048,0.113664
4096,0.12288
8192,0.108544
16384,0.101376
32768,0.112224
65536,0.081728
131072,0.188096
262144,0.12704
524288,0.135136
1048576,0.18016
2097152,0.152064
4194304,0.251232
8388608,0.330048
16777216,0.531328
33554432,0.844416
67108864,1.50262
2,0.064512
4,0.120832
8,0.154624
16,0.139264
32,0.118784
64,0.152576
128,0.120832
256,0.178176
512,0.134144
1024,0.3072
2048,0.134144
4096,0.188416
8192,0.197632
16384,0.10752
32768,0.087008
65536,0.08448
131072,0.165152
262144,0.12784
524288,0.134848
1048576,0.147744
2097152,0.148768
4194304,0.217312
8388608,0.32512
16777216,0.479936
33554432,0.852896
67108864,1.50582
2,0.037888
4,0.130048
8,0.13824
16,0.162816
32,0.15152
64,0.126976
128,0.129024
256,0.152576
512,0.152576
1024,0.050176
2048,0.038912
4096,0.152576
8192,0.432128
16384,0.120832
32768,0.095008
65536,0.17168
131072,0.157728
262144,0.05568
524288,0.1424
1048576,0.181856
2097152,0.153536
4194304,0.258784
8388608,0.332256
16777216,0.501856
33554432,0.817184
67108864,1.50336
2,0.044032
4,0.130976
8,0.146432
16,0.149568
32,0.145376
64,0.149504
128,0.14848
256,0.131072
512,0.146432
1024,0.125952
2048,0.185344
4096,0.096256
8192,0.0512
16384,0.101376
32768,0.116864
65536,0.080768
131072,0.150624
262144,0.133024
524288,0.137952
1048576,0.177184
2097152,0.158368
4194304,0.210272
8388608,0.307424
16777216,0.490368
33554432,0.829536
67108864,1.5056
2,0.254976
4,0.12288
8,0.130048
16,0.125952
32,0.130048
64,0.128
128,0.151552
256,0.119808
512,0.156672
1024,0.366592
2048,0.114688
4096,0.10752
8192,0.186368
16384,0.186368
32768,0.088832
65536,0.079072
131072,0.173536
262144,0.130944
524288,0.135424
1048576,0.188192
2097152,0.152192
4194304,0.21584
8388608,0.31008
16777216,0.496928
33554432,0.827872
67108864,1.49878
2,0.110592
4,0.126976
8,0.145408
16,0.157696
32,0.160768
64,0.129024
128,0.128
256,0.130048
512,0.130048
1024,0.147424
2048,0.135168
4096,0.213024
8192,0.191488
16384,0.121856
32768,0.181024
65536,0.078784
131072,0.149152
262144,0.14096
524288,0.15184
1048576,0.15648
2097152,0.158176
4194304,0.213088
8388608,0.311776
16777216,0.511936
33554432,0.864672
67108864,1.55888
2,0.147456
4,0.124928
8,0.139264
16,0.1536
32,0.151552
64,0.159744
128,0.156672
256,0.155648
512,0.131072
1024,0.144384
2048,0.290816
4096,0.098304
8192,0.100352
16384,0.116736
32768,0.090464
65536,0.07888
131072,0.157952
262144,0.171008
524288,0.137696
1048576,0.154208
2097152,0.152512
4194304,0.213504
8388608,0.319104
16777216,0.483648
33554432,0.81328
67108864,1.50451
2,0.125952
4,0.125952
8,0.149504
16,0.154624
32,0.128032
64,0.150592
128,0.146432
256,0.151552
512,0.15872
1024,0.129024
2048,0.116736
4096,0.190464
8192,0.146432
16384,0.089088
32768,0.171232
65536,0.115584
131072,0.150016
262144,0.074688
524288,0.139296
1048576,0.152
2097152,0.151072
4194304,0.229216
8388608,0.319328
16777216,0.483936
33554432,0.82912
67108864,1.52237
2,0.132096
4,0.121856
8,0.120832
16,0.14848
32,0.147456
64,0.1536
128,0.154592
256,0.126976
512,0.131072
1024,0.105472
2048,0.111616
4096,0.116736
8192,0.100352
16384,0.094208
32768,0.087168
65536,0.10272
131072,0.173312
262144,0.12288
524288,0.142112
1048576,0.15264
2097152,0.153056
4194304,0.213856
8388608,0.315584
16777216,0.48432
33554432,0.841664
67108864,1.50131
2,0.202752
4,0.121856
8,0.126976
16,0.152576
32,0.150528
64,0.13008
128,0.162816
256,0.153664
512,0.16384
1024,0.198656
2048,0.111616
4096,0.367616
8192,0.0512
16384,0.186368
32768,0.103456
65536,0.114112
131072,0.15728
262144,0.128864
524288,0.134656
1048576,0.164192
2097152,0.14944
4194304,0.250368
8388608,0.318176
16777216,0.514496
33554432,0.831968
67108864,1.52205
2,0.10752
4,0.125952
8,0.130048
16,0.140288
32,0.157696
64,0.119808
128,0.123904
256,0.150528
512,0.150528
1024,0.11776
2048,0.13312
4096,0.166912
8192,0.432128
16384,0.186368
32768,0.096192
65536,0.164864
131072,0.15488
262144,0.1312
524288,0.164832
1048576,0.154816
2097152,0.153728
4194304,0.221504
8388608,0.32512
16777216,0.527296
33554432,0.830528
67108864,1.49619
2,0.12288
4,0.104448
8,0.129024
16,0.14848
32,0.142368
64,0.15872
128,0.182272
256,0.104448
512,0.1096
1024,0.181248
2048,0.300032
4096,0.326656
8192,0.105536
16384,0.120832
32768,0.219968
65536,0.085216
131072,0.170272
