Size, Time 
262144 ,0.251904
524288 ,0.253952
1048576 ,0.267264
2 ,0.068608
4 ,0.068608
8 ,0.079872
16 ,0.069632
32 ,0.068608
64 ,0.067584
128 ,0.063488
256 ,0.08704
512 ,0.062464
1024 ,0.068608
2048 ,0.068608
4096 ,0.07072
8192 ,0.070656
16384 ,0.099328
32768 ,0.065536
65536 ,0.072704
131072 ,0.078848
262144 ,0.248832
524288 ,0.247808
1048576 ,0.26624
2 ,0.068608
4 ,0.067584
8 ,0.072704
16 ,0.094208
32 ,0.064512
64 ,0.070656
128 ,0.06656
256 ,0.067584
512 ,0.069632
1024 ,0.062464
2048 ,0.068608
4096 ,0.069632
8192 ,0.06656
16384 ,0.068608
32768 ,0.063488
65536 ,0.084992
131072 ,0.073728
262144 ,0.2816
524288 ,0.25088
1048576 ,0.251904
2 ,0.099328
4 ,0.065536
8 ,0.064512
16 ,0.062464
32 ,0.08192
64 ,0.065536
128 ,0.070656
256 ,0.062464
512 ,0.067584
1024 ,0.068608
2048 ,0.068608
4096 ,0.068608
8192 ,0.080896
16384 ,0.070656
32768 ,0.07168
65536 ,0.069632
131072 ,0.07168
262144 ,0.284672
524288 ,0.262112
1048576 ,0.264192
2 ,0.06656
4 ,0.067584
8 ,0.069632
16 ,0.064512
32 ,0.069632
64 ,0.067584
128 ,0.066592
256 ,0.101376
512 ,0.068608
1024 ,0.064512
2048 ,0.067584
4096 ,0.063488
8192 ,0.062464
16384 ,0.069632
32768 ,0.074752
65536 ,0.064512
131072 ,0.065536
262144 ,0.27744
524288 ,0.244736
1048576 ,0.253952
2 ,0.070656
4 ,0.067584
8 ,0.07168
16 ,0.063488
32 ,0.06656
64 ,0.067584
128 ,0.067584
256 ,0.06656
512 ,0.06144
1024 ,0.075776
2048 ,0.068608
4096 ,0.069632
8192 ,0.114688
16384 ,0.069632
32768 ,0.068608
65536 ,0.070592
131072 ,0.068608
262144 ,0.244736
524288 ,0.262144
1048576 ,0.274432
2 ,0.068608
4 ,0.079872
8 ,0.073728
16 ,0.07168
32 ,0.070656
64 ,0.070656
128 ,0.06656
256 ,0.091136
512 ,0.063488
1024 ,0.062464
2048 ,0.070656
4096 ,0.069632
8192 ,0.068576
16384 ,0.096256
32768 ,0.099328
65536 ,0.070656
131072 ,0.070656
